Prediction,Label,Text
1,1,i loooooooovvvvvveee my kindle2 not that the dx is cool but the 2 is fantastic in its own right
1,1,reading my kindle2 love it lee childs is good read
0,1,ok first assesment of the it fucking rocks
1,1,youll love your kindle2 ive had mine for a few months and never looked back the new big one is huge no need for remorse
1,1,fair enough but i have the kindle2 and i think its perfect
0,1,no it is too big im quite happy with the kindle2
0,0,fuck this economy i hate aig and their non loan given asses
1,1,jquery is my new best friend
1,1,loves twitter
1,1,how can you not love obama he makes jokes about himself
0,0,i firmly believe that obamapelosi have zero desire to be civil its a charade and a slogan but they want to destroy conservatism
1,1,house correspondents dinner was last night whoopi barbara sherri went obama got a standing ovation
1,1,watchin espnjus seen this new nike commerical with a puppet lebronsht was hilariouslmao
0,0,dear nike stop with the flywire that shit is a waste of science and ugly love
1,1,best athlete of our generation if not all time basketball related i dont want to get into intersport debates about __12
0,0,i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james
1,1,i love lebron
1,0,lebron is a beast but im still cheering 4 the atil the end
1,1,lebron is the boss
1,1,lebron is a hometown hero to me lol i love the lakers but lets go cavs lol
1,1,lebron and zydrunas are such an awesome duo
1,1,lebron is a beast nobody in the nba comes even close
1,1,downloading apps for my iphone so much fun there literally is an app for just about anything
1,1,good news just had a call from the visa office saying everything is finewhat a relief i am sick of scams out there stealing
1,1,awesome come back from via
1,1,in montreal for a long weekend of rr much needed
1,1,booz allen hamilton has a bad ass homegrown social collaboration platform way cool
1,1,customer innovation award winner booz allen hamilton
0,1,i current use the nikon d90 and love it but not as much as the canon 40d50d i chose the d90 for the video feature my mistake
1,1,google is always a good place to look shouldve mentioned i worked on the mustang w my dad
0,0,played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone
0,0,us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders
0,0,omg so bored my tattoooos are so itchy help aha
0,0,im itchy and miserable
1,0,no im not itchy for now maybe later lol
1,1,rt i love the nerdy stanford human biology videos makes me miss school
1,1,has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane
1,1,im listening to pyt by danny gokey 3 3 3 aww hes so amazing i 3 him so much
1,1,is going to sleep then on a bike ride
0,0,cant sleep my tooth is aching
0,0,blah blah blah same old same old no plans today going back to sleep i guess
0,0,glad i didnt do bay to breakers today its 1000 freaking degrees in san francisco wtf
0,0,obama administration must stop bonuses to aig ponzi schemers
0,0,started to think that citi is in really deep st are they gonna survive the turmoil or are they gonna be the next aig
0,0,shaunwoo haten on aig
1,1,you will not regret going to see star trek it was awesome
0,0,annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that
1,1,highly recommend by malcolm gladwell
1,1,blink by malcolm gladwell amazing book and the tipping point
1,1,malcolm gladwell might be my new man crush
0,0,omg the commercials alone on espn are going to drive me nuts
1,1,playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code
1,1,hello twitter api
0,0,because the twitter api is slow and most clients arent good
0,0,yahoo answers can be a butt sometimes
1,1,is scrapbooking with nic d
1,1,rt five things wolfram alpha does better and vastly different than google
1,1,just changed my default pic to a nike basketball cause bball is awesome
0,0,rt was just told that nike layoffs started today
1,1,back when i worked for nike we had one fav word just do it
1,1,by the way im totally inspired by this freaky nike commercial
1,1,class the 50d is supposed to come today
0,0,needs someone to explain lambda calculus to him
0,0,took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus
1,1,shout outs to all east palo alto for being in the buildin karizmakaze 50cal gta also thanks to profits of doom universal hempz cracka
0,0,yeahhhhhhhhh i wouldnt really have lived in east palo alto if i could have avoided it i guess its only for the summer
1,1,great stanford course thanks for making it available to the public really helpful and informative for starting off
1,1,til 6pm lets go lakers
0,0,damn you north korea
0,0,can we just go ahead and blow north korea off the map already
0,0,north korea please cease this douchebaggery china doesnt even like you anymore
0,0,why the hell is pelosi in freakin china and on whose dime
0,0,are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout
0,0,insects have infected my spinach plant
0,0,wish i could catch every mosquito in the world n burn em slowlythey been bitin the shit outta me 2daymosquitos are the assholes of insects
0,0,just got back from church and i totally hate insects
0,0,just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well its true so suck it
1,1,omgg i ohhdee want mcdonalds damn i wonder if its open lol
0,0,history exam studying ugh
0,0,i hate revision its so boring i am totally unprepared for my exam tomorrow things are not looking good
0,0,higher physics exam tommorow not lookin forward to it much
0,0,its a bank holiday yet im only out of work now exam season sucks
0,0,cheney and bush are the real culprits
0,0,lifes a bitch and so is dick cheney
0,0,dick cheneys dishonest speech about torture terror and obama fred kaplan slate
0,0,the republican party is a bunch of antiabortion zealots who couldnt draw flies to a dump neal boortz just now on the radio
0,0,is twitters connections api broken some tweets didnt make it to twitter
0,0,i srsly hate the stupid twitter api timeout thing soooo annoying
1,1,i really liked s learning jquery book is worth a look too
1,1,very interesting ad from adobe by goodby silverstein partners youtube adobe cs4 le sens propre
1,1,goodby silverstein agency new site great
1,1,rt goodby silversteins new site i enjoy it nice find
1,1,the ever amazing psyop and goodby silverstein partners for hp have to go play with after effects now
1,1,top ten most watched on viralvideo chart love the nike campaign from wieden kennedy
1,1,zomg i have a g2
1,1,ok so lots of buzz from io2009 but how lucky are they a free g2
1,1,just got a free g2 android at google io
1,1,guess ill be retiring my g1 and start using my developer g2 woot
1,1,i am happy for philip being at googleio today
1,1,lakers played great cannot wait for thursday night lakers vs
1,1,judd apatow creates fake sitcom on nbccom to market his new movie viral marketing at its best
0,0,viral marketing fail this acia pills brand oughta get shut down for hacking into peoples messengers i get 56 msgs in a day arrrgh
1,1,watching night at the museum lmao
1,1,i loved night at the museum
1,1,just got back from the movies went to see the new night at the museum with rachel it was good
1,1,i will take you on a date to see night at the museum 2 whenever you wantit looks soooooo good
1,1,no watching the night at the museum getting really good
1,1,night at the museum wolverine and junk food perfect monday
1,1,saw night at the museum 2 last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever
1,0,night at the museum tonite instead of up oh well that 4 yr old better enjoy it lol
0,0,its unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable
0,0,tell me again why we are giving more to gm we should use that for all the programs that support the unemployed
0,0,oh yes but if gm dies it will only be worth more boo hahaha
0,0,time warner cable is down again 3rd time since memorial day bummer
0,0,i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection
0,0,nooooooo my dvr just died and i was only half way through the ea presser hate you time warner
0,0,fck time warner cable you fcking suck balls i have a 700 hd tv my damn hd channels hardly ever come in bullshit
0,0,time warner has the worse customer service ever i will never use them again
0,0,time warner is the devil worst possible time for the internet to go out
0,0,fuck no internet damn time warner
0,0,time warner really picks the worst time to not work all i want to do is get to mtvcom so i can watch the hills wtfffff
0,0,i hate time warner soooo wish i had vios cant watch the fricken mets game wo buffering i feel like im watching free internet porn
0,0,ahhgot rid of stupid time warner today now taking a nap while the roomies cook for me pretty good end for a monday
0,0,time warners hd line up is crap
0,0,is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too
0,0,time warner cable slogan where calling it a day at 2pm happens
0,0,recovering from surgerywishing was here
0,1,my wrist still hurts i have to get it looked at i hate the drdentistscary places time to watch eagle eye if you want to join txt
0,0,the dentist lied u wont feel any discomort prob wont even need pain pills man u twippin this shit hurt how many pills can i take
0,0,my dentist is great but shes expensive
0,1,is studing math tomorrow exam and dentist
0,0,my dentist was wrong wrong
0,0,going to the dentist later
0,0,son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell
0,0,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that
1,1,safeway is very rock n roll tonight
0,0,the safeway bathroom still smells like ass
0,0,at safeway on elkhorn they move like theyre dead
1,1,i love dwight howards vitamin water commercial now i wish he was with nike and not adidas lol
0,0,found nothing at nike factory off to banana republic outlet
1,1,is lovin his nike already and thats only from running on the spot in his bedroom
1,1,i finally got around to using jquery to make my bio collapse yay for slide animations
1,1,right lol well get there i have high expectations warren buffet style
1,1,rt rt great someones sitting in the shade today because someone planted a tree a long time ago warren buffet
1,1,warren buffet became for a time the richest man in the united states not by working but investing in 1 big idea which lead to the fortune
1,1,according to the create a school notre dame will have 7 receivers in ncaa 10 at 84 or higher rating sweet
1,1,its definitely under warranty my experience is the amazon support for kindle is great had to contact them about my kindle2
0,0,time warner road runner customer support here absolutely blows i hate not having other highspeed net options im ready to go nuclear
